product_name,product_description,image_url
"CeraVe Acne Foaming Cream Cleanser","Contains 4% Benzoyl Peroxide to clear acne breakouts and prevent new ones from forming, along with ceramides to maintain the skin's natural barrier. Ideal for daily use on oily or acne-prone skin.",https://www.cerave.com/skincare/cleansers/facial-cleansers/-acne-foaming-cream-wash-
"Paula's Choice 2% BHA Liquid Exfoliant","A leave-on exfoliant with salicylic acid that unclogs pores, smooths skin texture, and reduces blackheads and breakouts.",https://www.niche-beauty.com/en-ie/products/paulas-choice-skin-perfecting-2-bha-liquid-exfoliant/479-005
"La Roche-Posay Effaclar Duo Dual Action Acne Treatment","Features micronized benzoyl peroxide and LHA to reduce acne blemishes, blackheads, and whiteheads while minimizing irritation.",https://www.amazon.com/Roche-Posay-Effaclar-Exfoliant-Treatment-Blemishes/dp/B0DFJQPHVC
"The Ordinary Niacinamide 10% + Zinc 1%","High-strength vitamin and mineral blemish formula that reduces the appearance of skin congestion and brightens skin tone.",https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ
"Differin Adapalene Gel 0.1%","A prescription-strength retinoid for acne treatment that clears breakouts deep within the pores to prevent new ones from forming.",https://www.shutterstock.com/search/differin-adapalene-cream-acne-treatment
"Aveeno Eczema Therapy Daily Moisturizing Cream","Clinically shown to relieve dry, itchy, irritated skin due to eczema. Formulated with colloidal oatmeal and ceramides.",https://www.aveeno.com/products/eczema-therapy-daily-moisturizing-cream
"CeraVe Eczema Relief Creamy Oil","Provides intense moisture to very dry, itchy, and irritated skin. Contains ceramides and hyaluronic acid to restore skin barrier.",https://www.cerave.com/skincare/moisturizers/eczema-creamy-oil
"Eucerin Eczema Relief Body Cream","A unique formula with colloidal oatmeal, ceramide-3, and licochalcone A to soothe and moisturize irritated skin.",https://www.en.eucerin.ca/products/eczema-relief/eczema-relief-body-creme
"Vanicream Moisturizing Cream","A non-greasy, long-lasting cream that is free of common chemical irritants found in ordinary moisturizers. Ideal for sensitive skin, including eczema-prone.",https://medrockpharmacy.com/product/vanicream-moisturizing-skin-cream-with-pump-dispenser-16-fl-oz-1-lb-moisturizer-formulated-without-common-irritants-for-th/
"Dermeze Treatment Cream","A rich, emollient cream for very dry, irritated, and sensitive skin conditions like eczema. Helps to hydrate and protect.",https://www.amazon.com/Dermeze-Treatment-Cream-100g/dp/B07M5H8N22
