id,nom,description,prix,category_name,marque_name,created_at,shade
1,Sérum Illuminateur,Ce sérum illuminateur pour le visage contribue à améliorer sensiblement le teint et la texture de la peau pour des résultats uniformes et éclatants,61,Face Care,Byoma,2025-04-17 11:52:54,[]
2,Nettoyant Gel Crème,"Cette gelée nettoyante ultra-hydratante élimine en douceur et efficacement la saleté l’excès de sébum et le maquillage sans abîmer la barrière cutanée. Profitez d’un nettoyant quotidien pour le visage en une seule étape.",54,Face Care,Byoma,2025-04-17 11:58:17,[]
3,HYDRA-HYAL Sérum Hydratant,"Découvrez le sérum HYDRA-HYAL un soin hydratant à lacide hyaluronique pour repulper la peau visiblement. Intégrant un complexe qui délivre dans la peau 5 types d’acides hyaluronique pour hydrater lisser et repulper.",191,Moisturizers,Filorga,2025-04-17 12:04:59,[]
4,TIME-FILLER 5XP Crème visage anti-rides,"TIME-FILLER 5XP CRÈME FILORGA réinvente sa crème anti-ride best-seller qui agit simultanément sur 5 types de rides grâce au cœur de formule 5XP inspiré de 5 techniques de médecine esthétique.",261,Face Care,Filorga,2025-04-17 12:08:43,[]
5,Effaclar DUO+M Soin triple correction anti-imperfections,Sérum pour illuminer la peau et l’hydrater en profondeur,58,Face Care,La Roche-Posay,2025-04-17 12:12:58,[]
6,Facteurs Naturels d'Hydratation + PhytoCéramides,La crème hydratante The Ordinary la plus nourrissante et fraiche.,40,Moisturizers,The Ordinary,2025-04-17 12:23:26,[]
7,Tonique Exfoliant à l'Acide Glycolique 7%,Une reformulation de notre sérum hydratant le plus apprécié qui hydrate et repulpe instantanément tout en lissant la texture et les rides.,109,Face Care,The Ordinary,2025-04-17 12:26:58,[]
8,ANTHELIOS_FLUIDE_OIL_CONTROL_UVMUNE_400_AVEC_PARFUM_SPF50+,"Résistant à l'eau et à la transpiration. Yeux anti-piqûres. Sans marques blanches et sans parfum. Testé sous contrôle dermatologique sur peaux sensibles et réactives. Testé sous contrôle ophtalmologique sur les contours des yeux et des yeux sur les peaux sensibles. Testé sur les porteurs de lentilles de contact.",70,Sun Protection,La Roche-Posay,2025-04-17 13:21:10,[]
9,Anthelios UVMUNE 400 Crème solaire peau sensible SPF50+,Offre une protection SPF 50+ à large spectre contre les rayons UV nocifs assurant une défense supérieure de la peau sans compromettre le confort ou la sensation.,80,Sun Protection,La Roche-Posay,2025-04-17 13:21:10,[]
12,BYOMA Hydrating Body Wash,"Pour une peau normale à sèche - Lavage du corps hydratant et crémeux au squalane Beta Glucan - Nettoie Adoucit et apaise - Réparation des barrières cutanées - 16,9 fl oz",61,Body Care,Byoma,2025-04-17 13:38:50,[]
13,BYOMA Lotion pour le corps sensible ,"Pour peau sèche et irritée - Hydratant sans parfum avec beurre colloïdal d'avoine et de karité - Apaise et soulage les démangeaisons - Support de barrière cutanée - 16,9 fl oz",80,Body Care,Byoma,2025-04-17 13:38:50,[]
14,Sulphate 4% Cleanser for Body and Hair,A gentle fragrance-free shampoo and body wash for daily use.,50,Body Care,The Ordinary,2025-04-17 13:46:02,[]
15,Natural Moisturizing Factors + Inulin Body Lotion,A lightweight non-greasy body lotion for instant and all-day surface hydration.,46,Body Care,The Ordinary,2025-04-17 13:46:02,[]
16,Byoma smoothing body polish,"Byoma Smoothing Body Polish est un gommage corporel régénérant qui rafraîchit et renouvelle la peau sous la douche. La combinaison d'exfoliants chimiques et physiques agit ensemble en douceur mais efficacement pour cibler et équilibrer la peau rugueuse et bosselée.",76,Body Care,Byoma,2025-04-17 13:57:44,[]
