id,name,price,brand,category,description
1,Sérum Illuminateur,61,Unknown,Unknown,"Ce sérum illuminateur pour le visage contribue à améliorer sensiblement le teint et la texture de la peau, pour des résultats uniformes et éclatants."
2,Nettoyant Gel Crème,54,Unknown,Unknown,"Cette gelée nettoyante ultra-hydratante élimine en douceur et efficacement la saleté, l’excès de sébum et 	le maquillage sans abîmer la barrière cutanée. Profitez d’un nettoyant quotidien pour le visage, en une 	seule étape."
3,HYDRA-HYAL Sérum Hydratant,191,Unknown,Unknown,"Découvrez le sérum HYDRA-HYAL, un soin hydratant à lacide hyaluronique, pour repulper la peau visiblement. Intégrant un complexe qui délivre dans la peau 5 types d’acides hyaluronique pour hydrater, lisser et repulper."
4,TIME-FILLER 5XP Crème visage anti-rides,261,Unknown,Unknown,"TIME-FILLER 5XP CRÈME, FILORGA réinvente sa crème anti-ride best-seller qui agit simultanément sur 5 types de rides, grâce au cœur de formule 5XP inspiré de 5 techniques de médecine esthétique."
5,Effaclar DUO+M Soin triple correction anti-imperfections,58,Unknown,Unknown,Sérum pour illuminer la peau et l’hydrater en profondeur
6,Facteurs Naturels d\'Hydratation + PhytoCéramides,40,Unknown,Unknown,La crème hydratante The Ordinary la plus nourrissante et fraiche.
7,Tonique Exfoliant à l\'Acide Glycolique 7%,109,Unknown,Unknown,"Une reformulation de notre sérum hydratant le plus apprécié, qui hydrate et repulpe instantanément tout en lissant la texture et les rides."
8,ANTHELIOS_FLUIDE_OIL_CONTROL_UVMUNE_400_AVEC_PARFUM_SPF50+,70,Unknown,Unknown,Résistant à l\'eau et à la transpiration. Yeux anti-piqûres.\r\n    Sans marques blanches et sans parfum.\r\n    Testé sous contrôle dermatologique sur peaux sensibles et réactives.\r\n    Testé sous contrôle ophtalmologique sur les contours des yeux et des yeux sur les peaux sensibles.\r\n    Testé sur les porteurs de lentilles de contact.
9,Anthelios UVMUNE 400 Crème solaire peau sensible SPF50+,80,Unknown,Unknown,"Offre une protection SPF 50+ à large spectre contre les rayons UV nocifs, assurant une défense supérieure de la peau sans compromettre le confort ou la sensation."
12,BYOMA Hydrating Body Wash,61,Unknown,Unknown,"Pour une peau normale à sèche - Lavage du corps hydratant et crémeux au squalane, Beta Glucan - Nettoie, Adoucit et apaise - Réparation des barrières cutanées - 16,9 fl oz"
13,BYOMA Lotion pour le corps sensible,80,Unknown,Unknown,"Pour peau sèche et irritée - Hydratant sans parfum avec beurre colloïdal d\'avoine et de karité - Apaise et soulage les démangeaisons - Support de barrière cutanée - 16,9 fl oz"
14,Sulphate 4% Cleanser for Body and Hair,50,Unknown,Unknown,"A gentle, fragrance-free shampoo and body wash for daily use."
15,Natural Moisturizing Factors + Inulin Body Lotion,46,Unknown,Unknown,"A lightweight, non-greasy body lotion for instant and all-day surface hydration."
16,Byoma smoothing body polish,76,Unknown,Unknown,Byoma Smoothing Body Polish est un gommage corporel régénérant qui rafraîchit et renouvelle la peau sous la douche. La combinaison d\'exfoliants chimiques et physiques agit ensemble en douceur mais efficacement pour cibler et équilibrer la peau rugueuse et bosselée.
17,"NCEF-SHOT Sérum concentré anti-rides, fermeté et éclat",80,Unknown,Unknown,NCEF-SHOT est un sérum visage anti-âge ultra-concentré qui s\'utilise en cure de 10 jours pour améliorer la qualité de peau et corriger les signes du vieillissement cutané. Un véritable coup de boost pour les peaux dévitalisées et fatiguées !
18,LIFT-STRUCTURE RADIANCE,79,Unknown,Unknown,"LIFT-STRUCTURE RADIANCE, un fluide rose éclat ultra-liftant révélateur d’éclat naturel inspiré des techniques de médecine esthétique, qui agit sur le manque de fermeté, la perte de volume, les traits fatigués, le manque d’homogénéité ainsi que le teint terne pour un effet anti-âge radical."
19,HYDRA-HYAL CRÈME Crème de jour hydratante et repulpante,90,Unknown,Unknown,"Découvrez la crème visage HYDRA-HYAL, le bain d\'hydratation en pot. Pour compléter votre routine, combinez la crème et le sérum."
20,OXYGEN-GLOW Crème perfectrice éclat,73,Unknown,Unknown,"Découvrez OXYGEN-GLOW, une crème de jour perfectrice qui corrige la peau en temps réel et booste l\'éclat instantanément et durablement pour une belle peau au naturel."
21,Solution à la Caféine 5% + EGCG,50,Unknown,Unknown,Solution décongestionnante pour les yeux fatigués.
22,Sérum Multi-Peptides + Peptides de Cuivre 1%,46,Unknown,Unknown,Un sérum anti-âge innovant qui offre une protection antioxydante supplémentaire.
